title,price,rating,brand,color,processor,ram_gb,storage_gb
"HP Omnibook 3, Snapdragon X Processor 45 Tops (16GB LPDDR5x,512GB SSD) 2K WUXGA, 14''/35.6cm, Win 11, M365*Office 24,Silver,1.42kg, hz0026QU/ hz0024QU, Lighter mini Charger, FHD IR Camera, AI Laptop",69990.0,3.2,HP,Silver,Snapdragon,16,512
"ASUS Chromebook CM1405 (2026), Smartchoice, MediaTek Kompanio 540 Processor, 4GB RAM, 64GB SSD, FHD, 14""(35.5 cm), 60Hz, Chrome OS, Pure Grey, 1.37 Kg, CM1405CM4A-S60034, Thin & Light Laptop",28990.0,4.3,ASUS,Gray,MediaTek,4,64
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, Office 24, Blue, 2.29kg, fb3134/20ax, Xbox Gamepass*, Gaming Laptop",95990.0,4.1,HP,Blue,AMD,6,512
"Lenovo IdeaPad Slim 3 Ryzen 3 30 15.6"" (39.6cm) FHD Thin and Light Laptop (8GB RAM/512GB SSD/AMD Radeon 610M Graphics/Windows 11/Office 2024/Grey/1.6Kg), 82XQ01VYIN",54990.0,4.4,Lenovo,Gray,AMD,8,512
"Lenovo V15 G6 AMD Ryzen 7 170 (Coequal 7735HS) 15.6"" (39.62cm) FHD Thin and Light Business Laptop (16GB RAM DDR5/ 512GB SSD/Windows 11/ MS Office 2024/ AMD Radeon Graphics/Luna Grey/ 1.6 kg)",69999.0,3.8,Lenovo,Gray,AMD,16,512
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",55990.0,4.1,Lenovo,Gray,AMD,8,512
"Lenovo V15 G4 Laptop with AMD Ryzen 5 7520U, 16GB DDR5 RAM, 512GB SSD, 15.6-inch FHD Display, AMD Radeon Graphics, Windows 11 Home, MS Office 2024, Dolby Audio, Arctic Grey, 1 Year Onsite Warranty",56900.0,5.0,Lenovo,Gray,AMD,16,512
"ASUS Vivobook S14, Intel Core Ultra 5 225H, Intel iGPU,16GB RAM,512GB SSD, FHD+,14"",60Hz,Windows 11,M365 Basic (1Year)*,Office Home 2024,Cool Silver,1.4 Kg, S3407CA-LY060WS, Metallic Design Laptop",82990.0,4.2,ASUS,Silver,Intel,16,512
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i3-1315U 15.6 Inch (39.6cm) FHD Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home 2024/Grey/1.62Kg), 82X700HHIN",53950.0,4.6,Lenovo,Gray,Intel,8,512
"HP 14 Smartchoice, Intel Core Ultra 5 125H 12 TOPS, 24GB DDR5 (Upgradeable) 1TB SSD, Anti-Glare, FHD, 14''/35.6cm,Win11, M365*Office24, Silver, 1.4kg, ep1180tu, FHD Camera w/Shutter, Backlit AI Laptop",85990.0,3.3,HP,Silver,Intel,24,1000
"HP 15, AMD Ryzen 5 7520U,(16GB LPDDR5, 512GB SSD), Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win 11, Office 24,M365 Basic(1yr)*,Silver, 1.59kg, fc0690au, FHD Camera, Backlit KB Laptop",66400.0,3.9,HP,Silver,AMD,16,512
"Lenovo IdeaPad Slim 3, 13th Gen Intel Core i5 13420H, 24GB RAM, 1TB SSD, WUXGA IPS, 15.3""/38.8cm, Windows 11, Office 2024, Grey, 1.6Kg, Backlit Keyboard, 1Yr ADP Free, 83K100PLIN/83K1010FIN, Laptop",87990.0,4.2,Lenovo,Gray,Intel,24,1000
"HP 15, Intel Core 5-120U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, fd0682tu, FHD Camera w/Shutter, BL Laptop",68699.0,3.0,HP,Silver,Intel,16,512
"ASUS Chromebook CM1505 (2026), Smartchoice, MediaTek Kompanio 540 Processor, 4GB RAM, 64GB SSD, FHD, 15.6""(39.6 cm), 60Hz, Chrome OS, Fabric Blue, 1.49 Kg, CM1505CM4A-S70080, Thin & Light Laptop",24990.0,3.7,ASUS,Blue,MediaTek,4,64
"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor 45 Tops (16GB LPDDR5x, 1TB SSD) 2K,16''/40.6cm, Win11, Office24, Silver, 1.59kg, fb0001QU, Multi-Day Battery AI Laptop",84990.0,4.0,HP,Silver,Snapdragon,16,1000
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office 2024/Top Metal Cover/Backlit KB/Luna Grey/1.6Kg), 83K101JEIN",84990.0,2.8,Lenovo,Gray,Intel,16,512
"Dell 15 (Previously Inspiron), Intel Core i7 13th Gen -1355U, 16GB, 512GB SSD, FHD, 15.6""/39.62cm, Win 11, MSO'24, Silver, 1.62kg, [Dell 15], Backlit Keyboard, 12 Month McAfee, Thin & Light Laptop",82990.0,3.7,Dell,Silver,Intel,16,512
"Acer Smartchoice Aspire One, AMD Ryzen 5-40, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",47990.0,3.8,Acer,Silver,AMD,8,512
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty,",67999.0,4.2,Lenovo,Gray,AMD,16,512
"ASUS Vivobook Go 14 (2026),AMD Ryzen 3 30 Processor,AMD Radeon iGPU,8GB RAM,512GB SSD,FHD,14"" (35.5 cm),Windows 11,M365 Basic(1Y)* Office 2024,Cool Silver,1.38 Kg,E1404FA-EB1224WS,Thin & Light Laptop",48990.0,3.5,ASUS,Silver,AMD,8,512
"Lenovo V14 G4 AMD Ryzen 5 7520U 14"" (35.56 cm) FHD Laptop (16GB LPDDR5 RAM/512GB SSD/Windows 11 Home/Ms-Office /2GB AMD Radeon 610M Graphics/Dolby Audio/Arctic Grey/1.43 Kg), 1 Year Warranty",56690.0,3.6,Lenovo,Gray,AMD,16,512
"acer Aspire 3, Intel Pentium N6000, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop",39890.0,3.3,Acer,Silver,Intel,12,512
"HP 14, Intel Core Ultra 5 125H (16GB DDR5, 512GB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1150TU, FHD Camera, Backlit Laptop",77990.0,3.0,HP,Silver,Intel,16,512
"Lenovo ThinkBook 16, Intel Core Ultra 9 185H, 16GB RAM, 512GB SSD, WUXGA IPS 16” (40.64cm), Win 11 Home, Arctic Grey, 1.7Kg, 21SKA0J5IG, Fingerprint, Backlit, 300 Nits, 1Y Warranty, AI Powered Laptop",98990.0,3.7,Lenovo,Gray,Intel,16,512
"Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",45990.0,3.4,Acer,Silver,AMD,8,256
"HP 15 Smartchoice, 13th Gen Intel Core i5-1334U (16GB DDR4, 1TB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr) Office24, Silver, 1.59kg, FD0552TU,Iris Xe, FHD Camera, Backlit Laptop",65990.0,3.9,HP,Silver,Intel,16,1000
"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display, MSO 24, Black, 1.46kg, DQ3149TU Thin and Light Business Laptop",42999.0,3.2,HP,Black,Intel,8,512
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6""/39.6cm, Win11, M365(1yr)*Office 24, Mica Silver,2.29Kg,fa2308TX, RGB Gaming Laptop",129990.0,4.1,HP,Silver,Intel,8,1000
"ASUS Vivobook 16, Snapdragon X, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Cool Silver, 1.88kg, X1607QA-MB050WS, Qualcomm Adreno iGPU, 45TOPS, M365 Basic(1Year)* Laptop",63990.0,4.1,ASUS,Silver,Snapdragon,16,512
"Lenovo IdeaPad Slim 3 AMD Ryzen 5 40 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB RAM/512GB SSD/Backlit Keyboard/Windows 11/Microsoft 365 Basic + Office 2024/Grey/1.6Kg), 82XQ01HQIN",68490.0,3.9,Lenovo,Gray,AMD,16,512
"Dell 15 AI Powered Laptop, Intel Core Ultra 5 225H, 16GB DDR5 RAM, 512GB SSD, 15.6"" FHD Anti-Glare Display, Intel Arc Graphics, Dedicated Copilot Key, Backlit Keyboard, Silver, Win11 Home + MSO H&S'24",87990.0,4.1,Dell,Silver,Intel,16,512
"HP 15, AMD Ryzen 5 7520U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Offic24, Silver,1.59kg, fc0805AU, FHD Camera w/Privacy Shutter, Backlit Laptop",54990.0,3.0,HP,Silver,AMD,8,512
"Lenovo IdeaPad Slim 1, AMD Ryzen 5 5500U, 16GB RAM, 512GB SSD, HD, 15.6"", Windows 11 Home, MS Office 21, Cloud Grey, 1.61Kg, 82R400ERIN, Integrated AMD Graphics, 1Yr ADP Free, Thin and Light Laptop",61200.0,4.2,Lenovo,Gray,AMD,16,512
"HP 15, Intel Core 5-120U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, fd0651TU, FHD Camera w/Privacy Shutter, Backlit Laptop",66798.0,4.7,HP,Silver,Intel,8,512
"Acer Aspire Lite, 13th Gen Intel Core i3-1305U, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-53, Metal Body, Thin and Light Premium, Laptop",49990.0,4.0,Acer,Gray,Intel,8,512
"HP Pavilion Plus, Intel Core i5-1335U-13th Gen Laptop, (16GB LPDDR5x,512GB SSD),IPS, 300 nits, 14''(35.6cm) 2K,Win 11, M365 Basic(1yr), Office Home 24, Silver,1.38kg, 5MP Camera w/Shutter, ew0107TU",63990.0,3.6,HP,Silver,Intel,16,512
"Dell 15 AI Powered Laptop, Intel Core Ultra 5 225H, 8GB DDR5 RAM, 512GB SSD, 15.6"" FHD Anti-Glare Display, Intel Arc Graphics, Backlit Keyboard, Dedicated Copilot Key, Silver, Win11 Home + MSO H&S'24",75990.0,3.1,Dell,Silver,Intel,8,512
"Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Arctic Grey/1.57 kg/MS Office 2021",49400.0,4.0,Lenovo,Gray,AMD,8,512
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office 2024/Top Metal Cover/Backlit KB/Cosmic Blue/1.6Kg), 83K1016PIN",84990.0,3.8,Lenovo,Blue,Intel,16,512
"Lenovo V15 G4 AMD Ryzen 5 7520U DOS 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD,Dolby Audio,Premium Grey, 1 Year Onsite Brand Warranty",57250.0,3.9,Lenovo,Gray,AMD,16,512
"HP Professional 14 (2026) Thin & Light Laptop – Intel Core 5-120U, 16GB RAM, 512GB SSD, 14"" FHD Display, Windows 11 Pro, Backlit Keyboard, Fingerprint Sensor, MSO 2024, Turbo Silver, 1.4 Kg",68480.0,5.0,HP,Silver,Intel,16,512
"Lenovo Legion Pro 7 2025 Intel Core Ultra 9 275HX | NVIDIA RTX 5090 24GB (64GB RAM/1TB SSD/WQXGA OLED/240Hz/16 (40.6cm)/Windows 11/Office 2024+AI Now/Black/2.5Kg), 83F500D8IN AI Powered Gaming Laptop",482490.0,5.0,Lenovo,Black,Intel,24,1000
"HP Victus Gaming Laptop, Intel Core 5 210H, 4GB RTX 3050 A (24GB DDR5, 512GB SSD) FHD, 144Hz, 300 nits, IPS, 15.6''/39.6 cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2500TX, Backlit,",89990.0,5.0,HP,Silver,Intel,4,512
"HP 14, 13th Gen Intel Core i5-1334U Laptop (16GB RAM, 512GB SSD), Anti-Glare, IPS, 14""/35.6cm, FHD, Win 11, MS Office 2021, Silver, 1.4Kg, Intel Iris Xe Graphics, FHD Camera,Backlit KB, gr0002TU",69990.0,4.0,HP,Silver,Intel,16,512
"HP 255 Notebook, AMD Athlon Silver 7120U,8GB DDR4, 256GB SSD, 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, (Win 11, Silver,1.52kg) G10",43950.0,4.0,HP,Silver,AMD,8,256
"Acer Aspire 3 Intel Core i5-1334U Processor, 8GB RAM/512GB SSD, 39.62 cm(15.6"") FHD LED-Backlit IPS Display, Win11Home, Pure Silver, 1.7Kg, A325-53, Thin & Light Laptop",54650.0,3.8,Acer,Silver,Intel,8,512
"HP Omen, Intel Core Ultra 7 255H, 8GB RTX 5060 (24GB DDR5, 1TB SSD) 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.42kg, an0015TX, RGB, Gaming Laptop",166990.0,4.0,HP,Black,Intel,8,1000
"Lenovo IdeaPad Pro 5 AMD Ryzen 7 8845HS 16"" (40.64cm) 2K-OLED 400Nits 120Hz Laptop (16GB/1TB SSD/NVDIA RTX 4050 6GB/Win11/100% DCI-P3/Office 2021/Alexa/3 Month Game Pass/Grey/1.91Kg), 83D5000SIN",170000.0,3.6,Lenovo,Gray,AMD,16,1000
"HP Omen, AMD Ryzen AI 7 350, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16'(40.6cm) Win11, M365* Office24, Black, 2.44kg, ap0165AX, RGB, AI Gaming Laptop",136990.0,4.4,HP,Black,AMD,8,1000
"Dell 15 (Previously Inspiron), Intel 14th Gen Core i3 / Core 3 100U, 16GB, 512GB SSD, FHD, 15.6"", Win 11, MSO'24, Carbon Black, 1.63Kg, [Dell 15], FHD 120Hz IPS 250 nit Display, Thin & Light Laptop",58990.0,3.8,Dell,Black,Intel,16,512
"ASUS TUF A15 (2026), AMD Ryzen 7 170,RTX 3050-4GB,16GB RAM (Upgradeable),512GB SSD,FHD, 15.6""(39.6 cm),Windows 11,M365 Basic(1 Year),Office 2024, Graphite Black, 2.3 Kg, FA506NCQ-HN007WS,Gaming Laptop",87990.0,4.7,ASUS,Black,AMD,4,512
"ASUS ProArt PX13 (2026),AMD Ryzen AI MAX+ 395,AMD Radeon 8060S iGPU,128GB RAM,1TB SSD,3K OLED,13.3""(33.7 cm),Win 11,M365 Basic(1Y)* Office 2024,Nano Black,1.39 Kg,HN7306EAC-LX052WS,AI Creator Laptop",334990.0,4.3,ASUS,Black,AMD,128,1000
"Lenovo Yoga Slim 7 Aura Edition Intel Evo Core Ultra 5 226V (16GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Copilot+ PC/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.19Kg), 83JX005FIN AI Laptop",126990.0,4.5,Lenovo,Gray,Intel,16,1000
"Lenovo Legion 7 Intel Core i9-12900HX 16"" (40.64cm) QHD IPS 165Hz 500Nits Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 3080Ti 16GB/Alexa/3 Month Game Pass/Storm Grey/2.53Kg), 82TD009KIN",290000.0,5.0,Lenovo,Gray,Intel,32,1000
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1255TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop",82990.0,3.8,HP,Silver,Intel,16,1000
"ASUS Vivobook 14, (i5 14th Gen) Intel Core 5 120U, Thin & Light Laptop(16GB RAM/512GB SSD/FHD/14/60Hz/Fingerprint Reader/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.4 Kg) X1404VAP-EB1542WS",66990.0,4.1,ASUS,Blue,Intel,16,512
Lenovo ThinkPad E14 AI PC Intel Core Ultra 7 155H | Copilot Key | 16GB RAM | 512GB SSD | 14” WUXGA IPS 300 Nits | Win 11 + Office 2024 | Backlit | Fingerprint | 1.42 kg | 1Y Onsite | Black –21M7S0SF00,124900.0,5.0,Lenovo,Black,Intel,16,512
"Lenovo LOQ, Intel Core i7-13650HX, 13th Gen, NVIDIA RTX 4060-8GB, 16GB RAM, 1TB SSD, FHD 144Hz 300Nits, 15.6""/39.62cm, Windows 11 Home, MS Office 24, Grey, 2.38Kg, 83DV01BHIN, 100% sRGB Gaming Laptop",165000.0,4.3,Lenovo,Gray,Intel,8,1000
"HP 15 Smartchoice, Intel Core Ultra 5 125H 12 TOPS, 24GB DDR5 (Upgradeable) 1TB SSD,Anti-Glare, FHD, 15''/39.6cm,Win11, M365*Office24, Silver, 1.65kg, FD1458TU, FHD Camera w/Shutter, Backlit AI Laptop",83465.0,3.6,HP,Silver,Intel,24,1000
"Lenovo Legion Pro 5 2025 Intel Core i7-14650HX| NVIDIA RTX 5060 8GB (32GB RAM/1TB SSD/WQXGA IPS/240Hz/16(40.64cm)/Windows 11/Office 2024+AI Now/Black/2.4Kg), 83NN0046IN AI Powered Gaming Laptop",231490.0,4.0,Lenovo,Black,Intel,8,1000
"Acer Aspire 3 Intel Core i5-1334U Processor,Office 2024 + M365 Basic, (8GB DDR4 RAM/500 GB SSD) with 39.62 cm (15.6"") FHD LED-Backlit IPS Display/Win 11Home,A325-53, Pure Silver, 1.7KG",52990.0,2.8,Acer,Silver,Intel,8,500
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",71990.0,4.1,ASUS,Blue,AMD,16,512
"HP 15, 13th Gen Intel Core i3-1315uLaptop 8GB DDR4,512GB SSD Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU",55100.0,3.8,HP,Silver,Intel,8,512
"HP Professional 14 (2026) – Intel Core 5 120U (14th Gen), 16GB RAM, 512GB SSD, Windows 11 Pro, MSO 2024, Copilot Key, Fingerprint Reader, Intel Iris Xe Graphics, 14″ FHD Display, 1.53Kg – Turbo Silver",68480.0,3.8,HP,Silver,Intel,16,512
"Samsung Galaxy Book 4 15.6"" Full HD | Intel Core i5 1335U | 16GB RAM | 512GB SSD | Silver",69990.0,4.4,Samsung,Silver,Intel,16,512
"Lenovo Yoga Slim 7 AI Laptop PC 2025 Aura Edition, Intel Core Ultra 7 258V, 32GB RAM, 1TB SSD, OLED, Copilot AI Now, 47 Tops, 14""/35.5cm, Win 11, Office 24,Grey, 1.2 Kg, 83JX001MIN, AI Laptop",155990.0,3.7,Lenovo,Gray,Intel,32,1000
"Acer Aspire Lite, AMD Ryzen 3-5400U, Office 2024 + M365 Basic, 8GB RAM/512GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-41, Metal Body, Premium Thin and Light Laptop",44990.0,1.0,Acer,Gray,AMD,8,512
"Lenovo Legion 5 2025 AMD Ryzen 7 260 | NVIDIA RTX 5060 8GB (16GB RAM/1TB SSD/WUXGA IPS/165Hz/15(39.6cm)/Windows 11/Office 2024+AI Now/Black/2.5Kg), 83M00074IN AI Powered Gaming Laptop",185490.0,3.5,Lenovo,Black,AMD,8,1000
HP 15 (2025) AMD Ryzen 3 7335U Quad Core Laptop 16GB DDR5 512GB SSD AMD Radeon Graphics Windows 11 Pro MS Office 2024 Copilot Key AI PC 15.6-inch FHD Thin & Light 1.5kg Turbo Silver,57880.0,4.0,HP,Silver,AMD,16,512
"Acer TravelLite Thin Laptop AMD Ryzen 5 7430U |16GB RAM, 512GB SSD | 14"" Full HD Anti-Glare Display |Privacy Shutter| Windows 11 & MS-Office 2021 | Metal Body | 1.34Kg | Black | 30 Months Warranty",53999.0,3.7,Acer,Black,AMD,16,512
"Lenovo IdeaPad 5 2-in-1 Intel Core Ultra 5 225H (16GB RAM/512GB SSD/14 (35.5cm)/WUXGA IPS/Windows 11/MS) 365 Basic+Office 2024/Lenovo Digital Pen 2/1Yr ADP/Grey/1.6Kg, 83KR0076IN Convertible Laptop",94990.0,2.0,Lenovo,Gray,Intel,16,512
"Alienware 16 Aurora, Intel Core 7 14th Gen-240H, NVIDIA RTX 5060-8GB, 16GB DDR5, 1TB SSD, WQXGA, 16""/40.64cm, 120Hz, Windows11, MSO-24, Interstellar Indigo, 2.57Kg, Cryo Chamber Cooling, Gaming Laptop",156555.0,4.2,Alienware,Indigo,Intel,8,1000
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 Inch (39.6cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office Home 2024/3months Game Pass/Arctic Grey/1.62Kg), 83ER00MCIN",70849.0,4.4,Lenovo,Gray,Intel,16,512
"Lenovo LOQ Intel Core i7-14700HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/1TB SSD/Win 11/NVIDIA GeForce RTX 4060 8GB Graphics/100% sRGB/Office 21/1Yr ADP Free/Grey/2.4Kg), 83DV00BEIN",175000.0,3.9,Lenovo,Gray,Intel,16,1000
"HP Victus, 13th Gen Intel Core i5-13420H, 4GB RTX 3050A, 16GB DDR4(Upgradeable) 1TB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2047TX, Gaming Laptop",91289.0,3.4,HP,Silver,Intel,4,1000
"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB RAM/1TB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00D3IN",141500.0,4.4,Lenovo,Gray,Intel,32,1000
"ASUS Zenbook S14 (2026),Smartchoice,Intel Core Ultra 9 (Series 3),Intel iGPU,32GB /1TB SSD,3K OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y),Office 24, White,1.2 Kg,UX5406AA-SU189WS,Copilot+ PC",239990.0,3.1,ASUS,White,Intel,32,1000
"Lenovo IdeaPad Slim 3, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 15.6""(39.6cm), Windows 11, Office 2024, Grey, 1.6Kg, 82X700G5IN, 1Yr ADP Free, 3 Month Game Pass Laptop",53990.0,4.2,Lenovo,Gray,Intel,8,512
